,Artist,Total Views,100M,Avg
1506,Stereoact,27770000000.0,1.0,0.03
1507,Veysel Mutlu,27739999999.999996,1.0,0.03
1508,Isyana Sarasvati,27639999999.999996,1.0,0.05
1509,Jeff Buckley,27339999999.999996,1.0,0.05
1510,Plain White T's,27220000000.0,Não informado,0.03
1511,Darude,27020000000.0,1.0,0.06
1512,N.E.R.D,26850000000.0,1.0,0.03
1513,Natalie La Rose,26839999999.999996,1.0,0.02
1514,MCs Pikeno e Menor,26839999999.999996,1.0,0.0
1515,Midnight Oil,26730000000.0,1.0,0.08
1516,Charly Black,26620000000.0,Não informado,0.05
1517,Daniel Powter,26600000000.0,1.0,0.07
1518,Arcade Fire,26510000000.000004,Não informado,0.05
1519,Hunter Hayes,26470000000.0,Não informado,0.04
1520,Anastasija Ražnatović,26460000000.000004,Não informado,0.03
1521,Faithless,26410000000.000004,1.0,0.16
1522,Doğukan Manço,26410000000.000004,1.0,0.02
1523,After School,26110000000.000004,1.0,0.08
1524,Paweł Domagała,25980000000.0,1.0,0.03
1525,Marteria,25870000000.0,Não informado,0.02
1526,Kristína,25830000000.0,Não informado,0.02
1527,Anahí,25610000000.000004,Não informado,0.11
1528,Phillip Phillips,25480000000.0,1.0,0.04
1529,NU'EST,25340000000.0,1.0,0.04
1530,Clementino,25340000000.0,Não informado,0.02
1531,Ayse Hatun Önal,25200000000.0,1.0,0.02
1532,David Bowie,25190000000.0,Não informado,0.05
1533,Cobra Starship,25120000000.0,1.0,0.02
1534,Spyair,24930000000.0,Não informado,0.05
1535,Ella Henderson,24810000000.0,1.0,0.02
1536,Wheatus,24640000000.0,1.0,0.08
1537,Hanson,24400000000.0,1.0,0.05
1538,Dev,24380000000.0,Não informado,0.01
1539,B.A.P,24260000000.0,Não informado,0.02
1540,Francesca Michielin,24120000000.0,Não informado,0.03
1541,Nick Cave & The Bad Seeds,24020000000.0,Não informado,0.07
1542,Hoa Vinh,23920000000.0,1.0,0.12
1543,Kiiara,23780000000.0,1.0,0.04
1544,Mylène Farmer,23760000000.0,Não informado,0.09
1545,Ayaka,23720000000.0,Não informado,0.03
1546,Tay Zonday,23630000000.0,1.0,0.01
1547,Giusy Ferreri,23470000000.0,Não informado,0.04
1548,Alle Farben,23350000000.0,Não informado,0.02
1549,I LOVE MAKONNEN,23320000000.0,1.0,0.04
1550,Marvin Gaye,23300000000.0,1.0,0.08
1551,Paul McCartney,23240000000.0,Não informado,0.1
1552,Max Gazzè,23230000000.0,Não informado,0.03
1553,Kwabs,23200000000.0,1.0,0.03
1554,Cesare Cremonini,23140000000.0,Não informado,0.06
1555,Ráfaga,23040000000.0,Não informado,0.05
1556,Yeah Yeah Yeahs,23030000000.0,Não informado,0.08
1557,Ghetto Phénomène,23010000000.0,1.0,0.02
1558,Willow Smith,23000000000.0,1.0,0.1
1559,MC Lon,22930000000.0,Não informado,0.02
1560,La Joaqui,22910000000.0,Não informado,1.75
1561,Martin Tungevaag,22760000000.0,1.0,0.02
1562,Glasperlenspiel,22660000000.0,1.0,0.03
1563,Daya,22260000000.0,Não informado,0.02
1564,HAIM,22040000000.0,Não informado,0.03
1565,Max Giesinger,21970000000.0,Não informado,0.03
1566,amazarashi,21960000000.0,Não informado,0.05
1567,Gestört aber GeiL,21920000000.0,Não informado,0.02
1568,Alex Mica,21740000000.0,1.0,0.02
1569,GloRilla,21650000000.0,Não informado,0.86
1570,Steps,21540000000.0,Não informado,0.11
1571,Juan Karlos,21340000000.0,1.0,0.04
1572,Xantos,21270000000.0,1.0,0.03
1573,David Archuleta,21260000000.0,1.0,0.04
1574,Pardison Fontaine,21020000000.0,1.0,0.04
1575,Soul Asylum,20950000000.0,1.0,0.07
1576,Crayon Pop,20860000000.0,Não informado,0.02
1577,Dulce María,20730000000.0,Não informado,0.03
1578,Loreen,20730000000.0,1.0,0.03
1579,MC Bin Laden,20640000000.0,1.0,0.01
1580,Valesca Popozuda,20600000000.0,1.0,0.02
1581,Snakehips,20590000000.0,Não informado,0.02
1582,Pietro Lombardi,20410000000.0,Não informado,0.02
1583,Duffy,20320000000.0,Não informado,0.02
1584,Psirico,20110000000.0,1.0,0.04
1585,Alex Clare,20080000000.0,Não informado,0.02
1586,The Avener,20050000000.0,Não informado,0.04
